alcohol abuse	Alcoholic Intoxication	
C0268226	cherry-red spot myoclonus synd	
C0265868	chiari network	
C0265868	chiari network of venous valves	
C0265868	chiari network venous valves	
C0265868	chiari's network	
generalised	childhood absence epilepsy	
focal	childhood benign focal epilepsy	
focal	childhood benign occipital epilepsy	
focal	Childhood epilepsy with centro-temporal spikes	
	childhood epilepsy with occipital paroxysms	
	Chlormethiazole	
C0008221	Chlormethiazole (product)	
C0024454	chondrodysplasia with haemangioma	
C0024454	chondrodysplasia+haemangioma	
C1864871	chromosome 17q21.31 microdeletion syndrome	
C0151293	chronic headache	
C0151293	chronic headaches	
C1561643	chronic kidney deasese	
C0264960	cirsoid aneurysm of artery	
antidepressant	citalopram	
C1561643	CKD	
C0751383	cln3	
C0751383	cln3 related neuronal ceroid lipofuscinosis	
C0055891	Clobazam	
C0008221	Clomethiazole	
C0009011	clonazepam	
C0234535	Clonic convulsion	
C0234535	Clonic convulsions	
C0347870	clonic epileptic seizures   	
C0234535	Clonic Seizure	
C0234535	Clonic Seizures	
C0346068	cobb syndrome	
C0346068	cobb's syndrome	
C0239076	cocaine user	
C4302597	coeliac disease with epilepsy and cerebral calcification syndrome	
C1959866	cognitive developmental delay	
C0344329	Collapse	
C0265114	completed stroke	
C0751057	complex febrile seizure	
C0270834	complex focal seizures	
C0085417	complex partial epilepsy	
C0085417	complex partial epileptic seizure	
C0149958	complex partial epileptic seizure	
focal	Complex partial epileptic seizure of temporal lobe	
C0149958	Complex partial seizure	
C0085417	complex partial seizure disorder	
C4039464	Complex partial seizure of frontal lobe 	
C4040133	Complex partial seizure of occipital lobe	
C4039814	Complex partial seizure of parietal lobe	
focal	Complex partial seizure of temporal lobe	
C0270837	complex partial seizure with automatisms	
C0270834	complex partial seizure with consciousness impaired	
C0270834	complex partial seizure with impairment of consciousness	
C0149958	complex partial seizures	
C4040133	Complex partial seizures of occipital lobe	
C4039814	Complex partial seizures of parietal lobe	
C0270837	complex partial seizures with automatisms	
C0270834	complex partial seizures with consciousness impaired	
C0270834	complex partial seizures with impairment of consciousness	
C0393734	complex partial status epilepticus 	
C0340827	congenital abnormality of great veins and coronary sinus	
C2937220	congenital abnormality of vein	
C0265951	congenital absence of vein	
C0344686	congenital aneurysm of coronary sinus	
C0685758	congenital anomaly of azygos vein	
C0265914	congenital anomaly of pulmonary veins	
C0340818	congenital anomaly of valve of vein	
C2937220	congenital anomaly of vein	
C0265925	congenital anomaly of vena cava	
C0003857	congenital arteriovenous anomaly	
C0521549	congenital arteriovenous anomaly of the gastrointestinal tract	
C0332965	congenital arteriovenous fistula	
C0340842	congenital arteriovenous fistula haemorrhage	
